Topic,Count,Name,Representation,Representative_Docs
0,304,0_로그인_등록_인증_공동인증서,"['로그인', '등록', '인증', '공동인증서', '인증서', '오류', '최악', '가입', '우리사주', '대출']","['평가 평가 로그인 하면 주기 고객정보 갱신 정보 갱신 입력 방법 인증 메세지 등록 인증센터 인증서 등록 고객정보 갱신 정보 갱신 로그인 자체 고객 자금 운영 회사 운영', '타기관 인증서 등록 로그인 로그인 공동인증서 공동인증서 타기관 공동인증서 등록 거지 쓰레기 경우 비밀번호 로그인', '공동인증서 등록']"
1,13,1_쓰레기 쓰레기_쓰레기 불량_희대_홈페이지 쓰레기,"['쓰레기 쓰레기', '쓰레기 불량', '희대', '홈페이지 쓰레기', '투자 쓰레기', '투자', '접합 니다', '접합', '요즘 쓰레기', '쓰레기 희대']","['쓰레기 접합 니다 투자', '홈페이지 쓰레기 쓰레기', '쓰레기 쓰레기']"
