doc_id,dominant_topic,tokens_preview,topic_probability,topic_label
287,0,오류 수고 아이폰 패스 인증 인증 짜증 금융감독원 감독,0.9566447012586259,0_로그인_등록_인증_공동인증서
288,0,사이트 플러그인 설치 요청,1.0,0_로그인_등록_인증_공동인증서
289,0,금융인증서 설정,1.0,0_로그인_등록_인증_공동인증서
290,0,금융인증서 작동,1.0,0_로그인_등록_인증_공동인증서
291,0,타기관 공동인증서 등록 이유,1.0,0_로그인_등록_인증_공동인증서
292,0,설치 조치,1.0,0_로그인_등록_인증_공동인증서
293,0,등록 공동인증서,0.9892225311746528,0_로그인_등록_인증_공동인증서
294,1,쓰레기,1.0,1_쓰레기 쓰레기_쓰레기 불량_희대_홈페이지 쓰레기
295,0,라고 얼마 하청,1.0,0_로그인_등록_인증_공동인증서
296,0,대체 방치,0.9905982561000035,0_로그인_등록_인증_공동인증서
297,0,프로그레스 돌고,1.0,0_로그인_등록_인증_공동인증서
298,0,증권 거래 피해 보상 당장 복구,0.9442309186258421,0_로그인_등록_인증_공동인증서
299,0,지난주,0.989617649869911,0_로그인_등록_인증_공동인증서
300,0,표시 다음,1.0,0_로그인_등록_인증_공동인증서
301,0,아이폰 개선,0.9773868232266146,0_로그인_등록_인증_공동인증서
302,0,모래시계,0.9716169333867782,0_로그인_등록_인증_공동인증서
303,0,아이폰 인증서,0.9563595310118357,0_로그인_등록_인증_공동인증서
304,0,부서 외부 감사 탈탈,0.9312016034388562,0_로그인_등록_인증_공동인증서
305,0,조회 로그인,0.9039919668007069,0_로그인_등록_인증_공동인증서
306,0,타사 등록,0.9576975923293283,0_로그인_등록_인증_공동인증서
307,0,최적화,1.0,0_로그인_등록_인증_공동인증서
308,0,변조 종료 메세지,0.9683240275614037,0_로그인_등록_인증_공동인증서
309,0,변조,0.9844954816422473,0_로그인_등록_인증_공동인증서
310,1,쓰레기,1.0,1_쓰레기 쓰레기_쓰레기 불량_희대_홈페이지 쓰레기
311,0,인터넷뱅킹 모바일뱅킹 핸드폰 업무,1.0,0_로그인_등록_인증_공동인증서
312,0,기존 컴퓨터 조회 외부 불편 모바일뱅킹 오픈 우리사주 조회 앞으로 업그레이드 해주시,1.0,0_로그인_등록_인증_공동인증서
313,0,디자인,0.9762644444068314,0_로그인_등록_인증_공동인증서
314,0,로그인 도화면 소리 쓰레기,0.9810539325304379,0_로그인_등록_인증_공동인증서
315,0,한눈 인간 본성 구성 우리사주 부분 개발자 미래 카카오톡 위치,0.9838924927270296,0_로그인_등록_인증_공동인증서
316,0,하네,1.0,0_로그인_등록_인증_공동인증서
